motor,screw,pgain,vgain,class
E,E,5,4,'\'(-inf-0.828136]\''
B,D,6,5,'\'(-inf-0.828136]\''
D,D,4,3,'\'(-inf-0.828136]\''
B,A,3,2,'\'(5.00945-5.706336]\''
D,B,6,5,'\'(-inf-0.828136]\''
E,C,4,3,'\'(-inf-0.828136]\''
C,A,3,2,'\'(5.00945-5.706336]\''
A,A,3,2,'\'(5.00945-5.706336]\''
C,A,6,5,'\'(-inf-0.828136]\''
D,A,4,1,'\'(0.828136-1.525021]\''
B,E,6,5,'\'(-inf-0.828136]\''
E,C,5,4,'\'(-inf-0.828136]\''
B,C,4,1,'\'(-inf-0.828136]\''
E,C,3,1,'\'(0.828136-1.525021]\''
C,C,5,4,'\'(-inf-0.828136]\''
E,B,3,2,'\'(1.525021-2.221907]\''
D,C,3,1,'\'(0.828136-1.525021]\''
B,C,5,4,'\'(-inf-0.828136]\''
B,B,5,4,'\'(-inf-0.828136]\''
C,E,4,2,'\'(-inf-0.828136]\''
E,D,4,3,'\'(0.828136-1.525021]\''
A,D,4,3,'\'(0.828136-1.525021]\''
B,C,6,5,'\'(-inf-0.828136]\''
A,C,4,2,'\'(-inf-0.828136]\''
A,B,6,5,'\'(-inf-0.828136]\''
E,C,6,5,'\'(-inf-0.828136]\''
A,A,3,1,'\'(5.00945-5.706336]\''
A,E,4,2,'\'(-inf-0.828136]\''
C,D,3,2,'\'(1.525021-2.221907]\''
B,B,3,2,'\'(3.615679-4.312565]\''
B,E,4,2,'\'(-inf-0.828136]\''
B,C,3,1,'\'(3.615679-4.312565]\''
C,E,4,1,'\'(-inf-0.828136]\''
C,A,6,2,'\'(-inf-0.828136]\''
C,C,6,5,'\'(-inf-0.828136]\''
E,E,3,2,'\'(0.828136-1.525021]\''
D,E,3,1,'\'(-inf-0.828136]\''
E,C,4,2,'\'(-inf-0.828136]\''
C,B,6,5,'\'(-inf-0.828136]\''
C,D,4,1,'\'(-inf-0.828136]\''
D,B,4,1,'\'(-inf-0.828136]\''
C,B,4,3,'\'(0.828136-1.525021]\''
C,C,4,3,'\'(0.828136-1.525021]\''
B,D,4,1,'\'(-inf-0.828136]\''
B,A,5,3,'\'(-inf-0.828136]\''
A,B,4,3,'\'(0.828136-1.525021]\''
B,A,4,1,'\'(-inf-0.828136]\''
E,D,4,2,'\'(-inf-0.828136]\''
C,E,3,2,'\'(3.615679-4.312565]\''
D,D,3,1,'\'(-inf-0.828136]\''
D,A,6,5,'\'(-inf-0.828136]\''
C,B,3,2,'\'(4.312565-5.00945]\''
B,E,3,2,'\'(4.312565-5.00945]\''
C,D,5,4,'\'(-inf-0.828136]\''
B,B,4,2,'\'(-inf-0.828136]\''
A,E,4,3,'\'(0.828136-1.525021]\''
A,A,4,2,'\'(0.828136-1.525021]\''
B,D,4,3,'\'(0.828136-1.525021]\''
E,A,3,2,'\'(6.403222-inf)\''
B,C,4,3,'\'(0.828136-1.525021]\''
E,B,4,2,'\'(-inf-0.828136]\''
E,A,5,4,'\'(-inf-0.828136]\''
E,B,5,4,'\'(-inf-0.828136]\''
C,A,6,1,'\'(-inf-0.828136]\''
D,A,4,3,'\'(-inf-0.828136]\''
C,B,4,2,'\'(-inf-0.828136]\''
D,B,3,2,'\'(1.525021-2.221907]\''
D,C,3,2,'\'(0.828136-1.525021]\''
C,A,5,2,'\'(-inf-0.828136]\''
B,D,4,2,'\'(-inf-0.828136]\''
B,A,6,5,'\'(-inf-0.828136]\''
D,A,4,2,'\'(-inf-0.828136]\''
C,B,5,4,'\'(-inf-0.828136]\''
A,E,6,5,'\'(-inf-0.828136]\''
A,C,4,1,'\'(-inf-0.828136]\''
A,E,5,4,'\'(-inf-0.828136]\''
E,C,4,1,'\'(-inf-0.828136]\''
B,B,3,1,'\'(4.312565-5.00945]\''
A,D,3,2,'\'(4.312565-5.00945]\''
E,D,3,2,'\'(0.828136-1.525021]\''
E,A,3,1,'\'(6.403222-inf)\''
A,C,6,5,'\'(-inf-0.828136]\''
C,E,5,4,'\'(-inf-0.828136]\''
C,A,5,4,'\'(-inf-0.828136]\''
E,A,6,5,'\'(-inf-0.828136]\''
B,E,5,4,'\'(-inf-0.828136]\''
E,E,4,3,'\'(0.828136-1.525021]\''
B,A,4,2,'\'(0.828136-1.525021]\''
B,D,5,4,'\'(-inf-0.828136]\''
C,C,4,2,'\'(-inf-0.828136]\''
A,A,5,3,'\'(-inf-0.828136]\''
C,E,4,3,'\'(0.828136-1.525021]\''
A,A,4,3,'\'(0.828136-1.525021]\''
C,A,6,3,'\'(-inf-0.828136]\''
A,E,4,1,'\'(-inf-0.828136]\''
A,D,6,5,'\'(-inf-0.828136]\''
E,D,3,1,'\'(0.828136-1.525021]\''
C,B,4,1,'\'(-inf-0.828136]\''
B,D,3,2,'\'(3.615679-4.312565]\''
B,B,4,3,'\'(0.828136-1.525021]\''
B,C,4,2,'\'(-inf-0.828136]\''
A,E,3,2,'\'(4.312565-5.00945]\''
B,D,3,1,'\'(3.615679-4.312565]\''
D,B,5,4,'\'(-inf-0.828136]\''
C,C,4,1,'\'(-inf-0.828136]\''
C,D,4,2,'\'(-inf-0.828136]\''
E,B,4,1,'\'(0.828136-1.525021]\''
D,B,3,1,'\'(0.828136-1.525021]\''
E,B,6,5,'\'(-inf-0.828136]\''
D,A,3,1,'\'(2.221907-2.918793]\''
A,D,5,4,'\'(-inf-0.828136]\''
C,A,4,1,'\'(-inf-0.828136]\''
C,D,6,5,'\'(-inf-0.828136]\''
B,A,4,3,'\'(0.828136-1.525021]\''
E,A,4,3,'\'(0.828136-1.525021]\''
A,A,4,1,'\'(0.828136-1.525021]\''
A,C,4,3,'\'(0.828136-1.525021]\''
E,D,6,5,'\'(-inf-0.828136]\''
E,A,4,2,'\'(0.828136-1.525021]\''
C,D,3,1,'\'(0.828136-1.525021]\''
B,B,4,1,'\'(-inf-0.828136]\''
C,A,4,2,'\'(-inf-0.828136]\''
C,A,5,1,'\'(-inf-0.828136]\''
C,E,3,1,'\'(0.828136-1.525021]\''
C,A,3,1,'\'(3.615679-4.312565]\''
C,A,4,3,'\'(0.828136-1.525021]\''
C,C,3,1,'\'(1.525021-2.221907]\''
D,A,5,4,'\'(-inf-0.828136]\''
A,B,5,4,'\'(-inf-0.828136]\''
C,C,3,2,'\'(3.615679-4.312565]\''
E,D,5,4,'\'(-inf-0.828136]\''
D,C,4,3,'\'(-inf-0.828136]\''
E,E,6,5,'\'(-inf-0.828136]\''
D,B,4,2,'\'(-inf-0.828136]\''
A,D,4,2,'\'(-inf-0.828136]\''
B,B,6,5,'\'(-inf-0.828136]\''
A,B,4,1,'\'(-inf-0.828136]\''
A,C,5,4,'\'(-inf-0.828136]\''
B,E,4,1,'\'(-inf-0.828136]\''
C,B,3,1,'\'(3.615679-4.312565]\''
E,E,4,2,'\'(-inf-0.828136]\''
B,E,4,3,'\'(0.828136-1.525021]\''
A,E,3,1,'\'(3.615679-4.312565]\''
A,B,4,2,'\'(-inf-0.828136]\''
A,C,3,1,'\'(3.615679-4.312565]\''
E,C,3,2,'\'(0.828136-1.525021]\''
B,A,3,1,'\'(5.00945-5.706336]\''
D,D,3,2,'\'(0.828136-1.525021]\''
A,C,3,2,'\'(4.312565-5.00945]\''
E,A,4,1,'\'(0.828136-1.525021]\''
B,A,5,4,'\'(-inf-0.828136]\''
E,E,3,1,'\'(-inf-0.828136]\''
D,E,3,2,'\'(0.828136-1.525021]\''
E,B,3,1,'\'(0.828136-1.525021]\''
A,D,4,1,'\'(-inf-0.828136]\''
A,D,3,1,'\'(3.615679-4.312565]\''
E,B,4,3,'\'(0.828136-1.525021]\''
A,B,3,1,'\'(4.312565-5.00945]\''
D,B,4,3,'\'(-inf-0.828136]\''
A,A,5,4,'\'(-inf-0.828136]\''
D,A,3,2,'\'(2.221907-2.918793]\''
C,E,6,5,'\'(-inf-0.828136]\''
B,C,3,2,'\'(4.312565-5.00945]\''
B,E,3,1,'\'(3.615679-4.312565]\''
C,D,4,3,'\'(0.828136-1.525021]\''
A,B,3,2,'\'(4.312565-5.00945]\''
A,A,6,5,'\'(-inf-0.828136]\''
